----- Map no.    1
   128   128     1  0.00000         0
            0        1
       0   0.518239 0.023284
       1   0.023284 0.435193
     p's  0.541523 0.458477
----- Map no.    2
   128   128     1  0.00000         0
            0        1
       0   0.529220 0.025114
       1   0.025114 0.420552
     p's  0.554334 0.445666
----- Map no.    3
   128   128     1  0.00000         0
            0        1
       0   0.528236 0.021023
       1   0.021023 0.429718
     p's  0.549259 0.450741
----- Map no.    4
   128   128     1  0.00000         0
            0        1
       0   0.539493 0.015025
       1   0.015025 0.430456
     p's  0.554518 0.445482
----- Map no.    5
   128   128     1  0.00000         0
            0        1
       0   0.528113 0.024376
       1   0.024376 0.423136
     p's  0.552488 0.447512
----- Map no.    6
   128   128     1  0.00000         0
            0        1
       0   0.527651 0.030389
       1   0.030389 0.411571
     p's  0.558040 0.441960
----- Map no.    7
   128   128     1  0.00000         0
            0        1
       0   0.522884 0.020100
       1   0.020100 0.436916
     p's  0.542984 0.457016
----- Map no.    8
   128   128     1  0.00000         0
            0        1
       0   0.526729 0.019470
       1   0.019470 0.434332
     p's  0.546198 0.453802
----- Map no.    9
   128   128     1  0.00000         0
            0        1
       0   0.525098 0.023345
       1   0.023345 0.428211
     p's  0.548444 0.451556
----- Map no.   10
   128   128     1  0.00000         0
            0        1
       0   0.527682 0.025529
       1   0.025529 0.421260
     p's  0.553211 0.446789
